,category,title,writer,date,hit,url
0,산업분석,인공지능 시대 새로운 성장 동력 HBM(고대역폭메모리),심경석,2023-07-24,448,/kbresearch/vitamin/reportView.do?vitaminId=2000401
1,디지털,인공지능은 인간지능을 초월할 수 있을까,김진성,2023-06-20,948,/kbresearch/vitamin/reportView.do?vitaminId=2000400
2,산업분석,"발전기 없는 발전소, 가상발전소(VPP)",이창우,2023-04-14,1909,/kbresearch/vitamin/reportView.do?vitaminId=2000381
3,디지털,해외 대형은행의 온라인 대출중개 플랫폼 활용과 대응 사례,김준산,2022-10-07,6210,/kbresearch/vitamin/reportView.do?vitaminId=2000360
4,디지털,트래블룰 적용 의의와 국내 가상자산 업계 동향,박교순,2022-05-30,5031,/kbresearch/vitamin/reportView.do?vitaminId=2000355
5,경영환경,"여성의 건강과 삶의 질을 높이는 기술, 펨테크",김도연,2022-05-25,6007,/kbresearch/vitamin/reportView.do?vitaminId=2000353
6,기타,"벌집군집붕괴현상(CCD), 꿀벌의 경고에 응답하라",이창우 ,2022-05-22,4499,/kbresearch/vitamin/reportView.do?vitaminId=2000352
7,자산관리,화상통화를 활용한 비대면 보험 모집 해외 사례와 시사점,이명창,2022-03-15,3704,/kbresearch/vitamin/reportView.do?vitaminId=2000347
8,부동산,주택 임대차 계약 후 필수 코스 전월세신고제,손은경,2022-02-21,4023,/kbresearch/vitamin/reportView.do?vitaminId=2000343
18,디지털,소상공인의 코로나19 위기 극복을 위한 디지털 전환,박정미,2022-02-08,6180,/kbresearch/vitamin/reportView.do?vitaminId=2000342
19,경영환경,"금융, 범죄로부터 국민을 보호하라",이창우,2022-01-10,4572,/kbresearch/vitamin/reportView.do?vitaminId=2000339
20,경영환경,"성과를 만드는 팀의 비밀, 심리적 안전감",이동훈,2022-01-03,6438,/kbresearch/vitamin/reportView.do?vitaminId=2000338
21,자산관리,아트테크(Art+재테크) 활성화에 따른 예술품보험의 필요성 증대,박준모,2021-12-27,3381,/kbresearch/vitamin/reportView.do?vitaminId=2000337
22,부동산,주택인 듯 주택 아닌 주택 같은 오피스텔,정종훈,2021-11-15,4635,/kbresearch/vitamin/reportView.do?vitaminId=2000334
23,산업분석,"해상풍력, 풍력발전의 새로운 도전",장경석,2021-11-01,3723,/kbresearch/vitamin/reportView.do?vitaminId=2000333
24,마케팅,"일 잘하는 소비자, 팬슈머에 응답하라",손광표,2021-10-26,5808,/kbresearch/vitamin/reportView.do?vitaminId=2000332
25,산업분석,스코프3(Scope3)로 넓혀져 가는 탄소 발자국 지우기 ,채희근,2021-10-26,4383,/kbresearch/vitamin/reportView.do?vitaminId=2000331
26,경영환경,로봇을 활용한 슬기로운 코로나19 극복,김준산,2021-10-20,2942,/kbresearch/vitamin/reportView.do?vitaminId=2000330
27,해외경제,중국 그린본드 시장 현황과 향후 전망,이정진,2021-10-18,1702,/kbresearch/vitamin/reportView.do?vitaminId=2000329
28,산업분석,테슬라도 눈 돌린 우주산업 - 민간 주도 뉴 스페이스,심경석,2021-09-01,4121,/kbresearch/vitamin/reportView.do?vitaminId=2000328
29,기타,북한의 순환경제정책과 재자원화,손광수,2021-08-24,2510,/kbresearch/vitamin/reportView.do?vitaminId=2000327
30,산업분석,"위기를 기회로, 유통업의 디지털 트랜스포메이션",오상엽,2021-08-23,4989,/kbresearch/vitamin/reportView.do?vitaminId=2000313
31,해외경제,100년 기업 육성을 위한 일본 정부와 은행들의 노력,한보화,2021-08-16,2959,/kbresearch/vitamin/reportView.do?vitaminId=2000326
32,거시/경제,코로나19 이후 주요국 고용과 경기회복 경로,이승훈,2021-08-09,3778,/kbresearch/vitamin/reportView.do?vitaminId=2000325
33,기타,자가면역질환의 이해와 관리 방안,김도연,2021-08-09,1983,/kbresearch/vitamin/reportView.do?vitaminId=2000324
