Table Names,F1-1,category,title,writer,date,hit,url,recommend,pdf_title,download
pdf테이블2.csv,,,,,,,,recommend_list,pdf_title,download
pdf테이블2.csv,410,거시/경제,미국의 물가 전망과 금리인상에 미치는 영향,김가현,2016-08-26,12529,/kbresearch/vitamin/reportView.do?vitaminId=1003347,"['코로나19 이후 주요국 고용과 경기회복 경로', '구매관리자지수의 이해와 활용 - 미국, 유럽, 중국의 예를 중심으로', '코로나19 이후 한국경제의 양극화 심화와 과제']",KB지식비타민_20160824_미국의 물가 전망과 금리인상에 미치는 영향.pdf,다운완료
pdf테이블2.csv,411,자본시장,벤처투자 다양화를 위한 Convertible Note의 이해와 활용,이윤재,2016-08-24,5532,/kbresearch/vitamin/reportView.do?vitaminId=1003341,"['팬데믹 이후 사이버 위험과 국내 사이버 보험상품의 이해', '위기의 국민연금', '알리바바그룹 「상호보(相互?)」의 구조와 의미']",KB지식비타민_20160822_벤처투자 다양화를 위한 Convertible Note의 이해와 활용.pdf,다운완료
pdf테이블2.csv,412,해외경제,최근 중국 주택가격 동향과 향후 전망,이정진,2016-08-19,4398,/kbresearch/vitamin/reportView.do?vitaminId=1003339,"['중국 그린본드 시장 현황과 향후 전망', '100년 기업 육성을 위한 일본 정부와 은행들의 노력', '중국, 한국과의 FTA를 통해 내다본 캄보디아의 앞날']",KB지식비타민_20160817_최근 중국 주택가격 동향과 향후 전망_.pdf,다운완료
pdf테이블2.csv,413,기타,기본소득(Basic Income)의 내용과 시사점,이승훈,2016-08-17,8007,/kbresearch/vitamin/reportView.do?vitaminId=1003338,"['벌집군집붕괴현상(CCD), 꿀벌의 경고에 응답하라', '북한의 순환경제정책과 재자원화', '자가면역질환의 이해와 관리 방안']",KB지식비타민_20160816_기본소득의 내용과 시사점.pdf,다운완료
pdf테이블2.csv,414,부동산,주요국의 인구구조 변화와 주택시장,손은경,2016-08-08,7439,/kbresearch/vitamin/reportView.do?vitaminId=1003333,"['주택 임대차 계약 후 필수 코스 전월세신고제', '주택인 듯 주택 아닌 주택 같은 오피스텔', '집값이 오르면 소비도 늘어날까?']",KB지식비타민_20160808_주요국 인구구조변화와 주택가격.pdf,다운완료
pdf테이블2.csv,415,경영환경,내부 기업가정신(Intrapreneurship)과 사내 벤처,김예구,2016-08-05,6353,/kbresearch/vitamin/reportView.do?vitaminId=1003332,"['여성의 건강과 삶의 질을 높이는 기술, 펨테크', '금융, 범죄로부터 국민을 보호하라', '성과를 만드는 팀의 비밀, 심리적 안전감']",KB지식비타민_20160803_내부 기업가정신(Intrapreneurship)과 사내 벤처.pdf,다운완료
pdf테이블2.csv,416,기타,긱 이코노미(Gig Economy)의 이해와 향후 전망,강서진,2016-08-03,13101,/kbresearch/vitamin/reportView.do?vitaminId=1003330,"['벌집군집붕괴현상(CCD), 꿀벌의 경고에 응답하라', '북한의 순환경제정책과 재자원화', '자가면역질환의 이해와 관리 방안']",KB지식비타민_20160801_긱 이코노미(Gig Economy)의 이해와 향후 전망_최종.pdf,다운완료
pdf테이블2.csv,417,부동산,"고분양가 논란의 중심, 재건축시장",서동한,2016-07-29,5165,/kbresearch/vitamin/reportView.do?vitaminId=1003328,"['주택 임대차 계약 후 필수 코스 전월세신고제', '주택인 듯 주택 아닌 주택 같은 오피스텔', '집값이 오르면 소비도 늘어날까?']",KB지식비타민_20160727_고분양가 논란의 중심 / 재건축시장.pdf,다운완료
pdf테이블2.csv,418,산업분석,정책 지원과 규제가 만드는 전기차 시장의 성장,이택수,2016-07-27,5683,/kbresearch/vitamin/reportView.do?vitaminId=1003327,"['인공지능 시대 새로운 성장 동력 HBM(고대역폭메모리)', '발전기 없는 발전소, 가상발전소(VPP)', '해상풍력, 풍력발전의 새로운 도전']",KB지식비타민_정책 지원과 규제가 만드는 전기차 시장의 성장_a.pdf,다운완료
pdf테이블2.csv,419,경영환경,증가하는 사이버리스크와 사이버보험 시장 확대,김도연,2016-07-21,6876,/kbresearch/vitamin/reportView.do?vitaminId=1003325,"['여성의 건강과 삶의 질을 높이는 기술, 펨테크', '금융, 범죄로부터 국민을 보호하라', '성과를 만드는 팀의 비밀, 심리적 안전감']",KB지식비타민_20160720_증가하는 사이버리스크와 사이버보험 시장 확대.pdf,다운완료
pdf테이블2.csv,420,자본시장,변동성지수의 이해와 활용,김주환,2016-07-20,5977,/kbresearch/vitamin/reportView.do?vitaminId=1003324,"['팬데믹 이후 사이버 위험과 국내 사이버 보험상품의 이해', '위기의 국민연금', '알리바바그룹 「상호보(相互?)」의 구조와 의미']",KB지식비타민_20160718_변동성지수의 이해와 활용.pdf,다운완료
pdf테이블2.csv,421,기타,인공지능 기술의 발달과 가상 개인비서 서비스의 진화,김회민,2016-07-15,7055,/kbresearch/vitamin/reportView.do?vitaminId=1003322,"['벌집군집붕괴현상(CCD), 꿀벌의 경고에 응답하라', '북한의 순환경제정책과 재자원화', '자가면역질환의 이해와 관리 방안']",KB지식비타민_20160713_인공지능 기술의 발달과 가상 개인비서 서비스의 진화.pdf,다운완료
pdf테이블2.csv,422,부동산,부동산P2P대출 확산과 주택시장,이종아,2016-07-13,6782,/kbresearch/vitamin/reportView.do?vitaminId=1003321,"['주택 임대차 계약 후 필수 코스 전월세신고제', '주택인 듯 주택 아닌 주택 같은 오피스텔', '집값이 오르면 소비도 늘어날까?']",KB지식비타민_20160711_부동산P2P대출 확산과 주택시장_최종1.pdf,다운완료
pdf테이블2.csv,424,마케팅,리테일 판매사원 혁신과 유니버설 뱅커,박성수,2016-06-29,8927,/kbresearch/vitamin/reportView.do?vitaminId=1003311,"['일 잘하는 소비자, 팬슈머에 응답하라', '할매니얼들 윤며들다! : MZ세대를 감동시키는 디지털 어른들', '펫테크, 기술로 반려동물을 널리 이롭게 하다']",(2016-48)KB지식비타민_20160627_리테일 판매사원 혁신과 유니버설 뱅커.pdf,다운완료
pdf테이블2.csv,425,자산관리,대학 연계형 은퇴자 커뮤니티의 이해와 금융권 활용과제,황원경,2016-06-24,5852,/kbresearch/vitamin/reportView.do?vitaminId=1003310,"['화상통화를 활용한 비대면 보험 모집 해외 사례와 시사점', '아트테크(Art+재테크) 활성화에 따른 예술품보험의 필요성 증대', '반복되는 전염병 위험과 보험업의 역할']",KB지식비타민_20160622_대학 연계형 은퇴자 커뮤니티의 이해와 금융권 활용과제_등재용.pdf,다운완료
pdf테이블2.csv,426,산업분석,선박 수처리 시장의 부각과 국내 조선 기자재 산업의 수혜,장경석,2016-06-17,4321,/kbresearch/vitamin/reportView.do?vitaminId=1003306,"['인공지능 시대 새로운 성장 동력 HBM(고대역폭메모리)', '발전기 없는 발전소, 가상발전소(VPP)', '해상풍력, 풍력발전의 새로운 도전']",KB지식비타민_20160613_선박평형수(초안).pdf,다운완료
pdf테이블2.csv,427,거시/경제,BREXIT의 영국/EU 경제 및 외환시장 영향,김가현,2016-06-15,6878,/kbresearch/vitamin/reportView.do?vitaminId=1003305,"['코로나19 이후 주요국 고용과 경기회복 경로', '구매관리자지수의 이해와 활용 - 미국, 유럽, 중국의 예를 중심으로', '코로나19 이후 한국경제의 양극화 심화와 과제']",KB지식비타민_20160613_BREXIT의 영국 EU 경제 및 외환시장 영향 (최종).pdf,다운완료
pdf테이블2.csv,429,자본시장,대체거래시스템(ATS) 국내 도입 논의와 시사점,이윤재,2016-06-03,6332,/kbresearch/vitamin/reportView.do?vitaminId=1003299,"['팬데믹 이후 사이버 위험과 국내 사이버 보험상품의 이해', '위기의 국민연금', '알리바바그룹 「상호보(相互?)」의 구조와 의미']",KB지식비타민_20160601_대체거래시스템(ATS) 국내 도입 논의와 시사점.pdf,다운완료
pdf테이블2.csv,430,해외경제,중국 유동성 확대에도 실물경제는 부진,이정진,2016-06-01,4380,/kbresearch/vitamin/reportView.do?vitaminId=1003296,"['중국 그린본드 시장 현황과 향후 전망', '100년 기업 육성을 위한 일본 정부와 은행들의 노력', '중국, 한국과의 FTA를 통해 내다본 캄보디아의 앞날']",KB지식비타민_20160530_中 / 유동성 확대에도 실물경제는 부진_.pdf,다운완료
pdf테이블2.csv,431,해외경제,마이너스 금리 도입 현황과 쟁점,이승훈,2016-05-27,7548,/kbresearch/vitamin/reportView.do?vitaminId=1003295,"['중국 그린본드 시장 현황과 향후 전망', '100년 기업 육성을 위한 일본 정부와 은행들의 노력', '중국, 한국과의 FTA를 통해 내다본 캄보디아의 앞날']",KB지식비타민_20160525_마이너스 금리정책 도입 현황과 쟁점.pdf,다운완료
pdf테이블2.csv,432,부동산,"미래형 주거형태, 제로에너지 주택",손은경,2016-05-23,4744,/kbresearch/vitamin/reportView.do?vitaminId=1003294,"['주택 임대차 계약 후 필수 코스 전월세신고제', '주택인 듯 주택 아닌 주택 같은 오피스텔', '집값이 오르면 소비도 늘어날까?']",KB지식비타민_20160523_미래형주거형태 제로에너지주택.pdf,다운완료
pdf테이블2.csv,433,경영환경,간소한 혁신(Frugal Innovation)과 금융업의 대응,김예구,2016-05-20,7264,/kbresearch/vitamin/reportView.do?vitaminId=1003293,"['여성의 건강과 삶의 질을 높이는 기술, 펨테크', '금융, 범죄로부터 국민을 보호하라', '성과를 만드는 팀의 비밀, 심리적 안전감']",KB지식비타민_20160518_간소한 혁신(Frugal Innovation)과 금융업의 대응.pdf,다운완료
pdf테이블2.csv,434,기타,모바일 메신저의 챗봇(Chatbot) 도입과 시사점,강서진,2016-05-13,8145,/kbresearch/vitamin/reportView.do?vitaminId=1003286,"['벌집군집붕괴현상(CCD), 꿀벌의 경고에 응답하라', '북한의 순환경제정책과 재자원화', '자가면역질환의 이해와 관리 방안']",KB지식비타민_20160516_모바일 메신저의 챗봇 도입과 시사점_최종.pdf,다운완료
pdf테이블2.csv,435,기타,"MOOC, IT기술과 교육의 융합",김동우,2016-05-11,5070,/kbresearch/vitamin/reportView.do?vitaminId=1003284,"['벌집군집붕괴현상(CCD), 꿀벌의 경고에 응답하라', '북한의 순환경제정책과 재자원화', '자가면역질환의 이해와 관리 방안']",KB지식비타민_20160509_MOOC / IT기술과 교육의 융합.최종.pdf,다운완료
