,idx,trans_txt
0,0,"비타민 B7, 또는 비타민 H로 더 알려진 비오틴은 건강한 모발, 피부, 손톱 유지에 필수적인 영양소입니다."
1,1,"'모발 비타민'은 머리카락을 구성하는 단백질인 케라틴 생성에 주요한 역할을 하며, 부족할 경우 탈모가 발생할 수 있습니다."
2,2,"비오틴은 이름난 영양소 중 하나로, 탈모로 고민하는 사람들에게 매우 효과적입니다."
3,3,"비오틴은 머리와 피부의 건강을 촉진하고 더 긴 두피와 머리카락, 손톱을 유지하기 위해 필요한 영양소입니다. 일상에서 비오틴 섭취를 더욱 쉽게 하기 위해서는 고단백 저지방 식품인 닭 가슴살, 계란, 땅콩, 아몬드와 같은 식품을 섭취하시는 것이 도움이 됩니다."
4,4,'비오틴'이라는 단어는 탈모 샴푸나 탈모 보조제 패키지에서 가장 자주 볼 수 있는 영양소의 이름입니다.
5,5,"""모발 강화를 위해 다양한 제품에서 소개되는 '맥주 효모'는 모두 비오틴 영양소 관련 제품입니다."""
6,6,"비오틴은 탈모에 효과가 있는 영양소로 많이 알려져 있다, 그렇게 유명하다고 하더라."
7,7,"비오틴은 우리 몸에서 탄수화물, 단백질, 지방을 대사하는데 필수적인 비타민B 종류입니다."
8,8,"비오틴 부족은 모발과 손발톱을 약하게 만들고, 지루성 피부염을 유발할 수 있습니다."
9,9,성인은 거의 비오틴 결핍이 없기 때문에 하루에 필요한 비오틴 섭취량은 약 30ug입니다.
10,10,일반적으로 건강한 성인은 평소 식사에서 충분한 양의 비오틴을 섭취할 수 있습니다.
11,11,"비오틴 부족한 사람들은 유전적 결핍, 날달걀 과다 섭취, 항경련제나 여드름 치료제 복용, 알코올 중독, 장기적인 항생제 사용 등의 이유로 비오틴 보충이 필요합니다."
12,12,비오틴 결핍 여부를 확인하는 것은 증상이나 습관을 통해 간단하게 알 수 있어요.
