date,content,tags,like,url,no,video
2023-07-26,"KB국민은행의 오리지널 웹드라마‘광야로 걸어가 2023’의 티저가 공개되었습니다!🎉시즌1의 인기에 힘입어 제작된 시즌2 [광야로 걸어가 2023]📢 우주대스타 에스파가 특별 출연한다는 소식기대를 안해볼 수 없겠죠~? [광야로 걸어가 2023] 스토리 살짝 공개~!n년째 소영이를 짝사랑만 하던 지훈, 소영이 옆에 등장한 어딘가 수상한 윤빈! 광야와 현실을 넘나들며 벌어지는 로맨스 판타지🥰📌매주 금요일 저녁 6시!KB국민은행 공식 유튜브 채널에서 매주 한편씩 공개됩니다. 광야로 걸어가 2023 즐기러 가볼까요?KB국민은행 공식 유튜브 좋아요, 구독, 알림 설정까지 하고7월 28(금)일 공개되는 EP.01 바로 즐겨주세요💛⬇⬇⬇(1편에서 시청 이벤트도 있다고 하니 놓치지 않고 보러가기🤙)#KB국민은행 #aespa #æspa #웹드라마 #티저 #로맨스 #판타지#광야로걸어가 #국민은행 #SM타운 #aespa #남사친 #여사친 #캠퍼스#에스파 #카리나 #윈터 #지젤 #닝닝 #광야 #Karina #Winter #Giselle #Ningning#KWANGYA #KB광야점 #EVENT #이벤트 #유튜브이벤트","['#KB국민은행', '#aespa', '#æspa', '#웹드라마', '#티저', '#로맨스', '#판타지', '#광야로걸어가', '#국민은행', '#SM타운', '#aespa', '#남사친', '#여사친', '#캠퍼스', '#에스파', '#카리나', '#윈터', '#지젤', '#닝닝', '#광야', '#Karina', '#Winter', '#Giselle', '#Ningning', '#KWANGYA', '#KB광야점', '#EVENT', '#이벤트', '#유튜브이벤트']",2075,https://www.instagram.com/p/CvKEOxLvOG9,CvKEOxLvOG9,0.0
2023-07-27,광야로 걸어가 2023🥺웹드라마 포스터 🥳 최.초.공.개 🥳10년 지기 절친인 지훈과 소영🧑👩어느날 소영이 앞에 등장한 어딘가 수상한 윤빈!📢 슈퍼스타 에스파도 특별 출연한다고 하니 기대를 안해볼 수 없겠죠~?💘현실과 광야를 넘나 드는 광야 로맨스판타지💘KB국민은행의 오리지널 웹드라마[광야로 걸어가 2023]7월 28일 금요일 오후 6시 공개되는EP.1 놓칠수 없겠죠?📢EP.1에서 시청 이벤트도 준비되어 있으니 잊지말고 보러가기!💨📌매주 금요일 오후 6시!KB국민은행 공식 유튜브 채널에서 매주 한편씩 공개됩니다🙌#KB국민은행 #aespa #æspa #웹드라마 #티저 #로맨스 #판타지#광야로걸어가 #국민은행 #SM타운 #남사친 #여사친 #캠퍼스#에스파 #카리나 #윈터 #지젤 #닝닝 #광야,"['#KB국민은행', '#aespa', '#æspa', '#웹드라마', '#티저', '#로맨스', '#판타지', '#광야로걸어가', '#국민은행', '#SM타운', '#남사친', '#여사친', '#캠퍼스', '#에스파', '#카리나', '#윈터', '#지젤', '#닝닝', '#광야']",3376,https://www.instagram.com/p/CvLnw4TgtMT,CvLnw4TgtMT,0.0
2023-07-26,"SMTOWN LIVE 2023 SMCU Palace @ Jakarta with KB Bank, 인도네시아 자카르타에서 9월 23일 개최!⠀한국-인도네시아 수교 50주년 축하의 메시지도 함께 울려 퍼질SMTOWN LIVE 2023 SMCU Palace @ Jakarta with KB Bank에 KB국민은행이 함께합니다.이번 콘서트는 KB국민은행의 신뢰도를 넓히고자,SM엔터테인먼트와 함께하게 되었습니다.인도네시아 팬들과 한층 더 가까워지고 싶은 KB국민은행의 마음, 전달되시나요?💛⠀세계를 주도하는 K-POP 스타들의 총출동!KB국민은행이 SM과 함께 광야로 걸어갑니다.라인업만으로도 두근두근💛동방신기, 슈퍼주니어, 레드벨벳, NCT127, NCT DREAM, WayV, 에스파, 새 SM 보이 그룹까지!KB국민은행과 함께 신나는 공연을 즐겨보세요!⠀#KB국민은행 #국민은행 #KB #SMTOWN_LIVE_2023_SMCU_PALACE_JAKARTA #SMTOWN_LIVE_2023_JAKARTA #SMCU_PALACE#SMTOWN_LIVE #SMTOWN #SMCU #KBBank #Kbbukopin","['#KB국민은행', '#국민은행', '#KB', '#SMTOWN_LIVE_2023_SMCU_PALACE_JAKARTA', '#SMTOWN_LIVE_2023_JAKARTA', '#SMCU_PALACE', '#SMTOWN_LIVE', '#SMTOWN', '#SMCU', '#KBBank', '#Kbbukopin']",1654,https://www.instagram.com/p/CvJlTFAJpR4,CvJlTFAJpR4,0.0
2023-07-26,Z세대 최대 관심사는 금융! 재테크!Z세대들의 금융 놀이터💛리브 Next로 모여라!🙌🏻매주 새롭게 업로드되는쉽고 재밌는 금융경제 상식 ‘주주특강’금융 상식의 레벨 테스트 ’주주 레벨업 고사‘까지👍🏻주요 핵심만 쏙쏙!금융 상식은 쑥쑥!리브 Next 주주특강으로 모여라!📌주주특강 수강하기✅리브 Next 앱 실행✅전체 메뉴> 놀이터 > 주주특강✅주주특강 구독하기✅1강부터 수강하며 알찬 시간 보내기⠀Z세대 맞춤 ‘주주특강’을 수강하시려면지금 바로 구글 플레이 또는 앱스토어에서‘리브 넥스트’를 검색해 보세요💛⠀#국민은행 #KB국민은행 #리브넥스트 #리브Next #리넥#주주특강 #금융상식 #Z세대 #자이낸스 #금융놀이터 #Z세대놀이터,"['#국민은행', '#KB국민은행', '#리브넥스트', '#리브Next', '#리넥', '#주주특강', '#금융상식', '#Z세대', '#자이낸스', '#금융놀이터', '#Z세대놀이터']",87,https://www.instagram.com/p/CvJJ52TynG6,CvJJ52TynG6,0.0
2023-07-25,[#EVENT]KB국민은행의 마스코트이자 귀요미💞콜리 비비 라마 아거 키키💞내 KB스타프렌즈 최애는 너야 너!지금 당신의 최애에게 투표하세요😉🍉이벤트 참여 방법1. 국민은행 공식 계정 '팔로우'필수 (언팔로우시 당첨자명단 제외)2. 해당 페이지 '좋아요' 완료3. 컬러 하트로 KB스타프렌즈 최애 투표하기📌이벤트 일정✅이벤트 기간: 2023.07.25(화) ~ 2023.07.30 (일)✅당첨자 발표: 2023.08.09(수)✅이벤트 경품: [이디야] 상큼주스 트리오 (5명)*품목 사정에 따라 이벤트 상품 또는 내용 등이 변경될 수 있는 점 양해 부탁드립니다.*해당 이벤트 경품은 국내 모바일 전용 상품입니다.#KB국민은행 #국민은행 #팔로우이벤트#팔로우 #좋아요 #경품 #이벤트 #이벤트그램,"['#EVENT]KB국민은행의', '#KB국민은행', '#국민은행', '#팔로우이벤트', '#팔로우', '#좋아요', '#경품', '#이벤트', '#이벤트그램']",644,https://www.instagram.com/p/CvGlCiEpvrD,CvGlCiEpvrD,0.0
2023-07-21,[📢#KB 여름휴가 랜덤게임 당첨자발표🎉]다들 올 여름 휴가 계획 세우셨나요~?KB스타프렌즈의 올여름 휴가 랜덤게임 결과는….!두구두구!!!!“혼자서 무인도에서 댄스배틀을 한다“ 입니다🤭열심히 일하신 만큼 좋은 곳에서 힐링할 수 있는 시간 보내시길 바랄게요 😍해당 이벤트에 참여해주신 모든 분들께 감사드립니다✨🎁이벤트 경품_[카페베네] 초당옥수수 빙수 (5명 추첨)📣 당첨되신 분들께는 개별메시지로 안내드릴 예정입니다.확인 후 기간 내 회신 부탁드립니다!#KB국민은행 #국민은행 #이벤트 #여름휴가#랜덤게임추첨 #휴가계획 #여름계획 #직장인휴가 #난못하겠어,"['#KB', '#KB국민은행', '#국민은행', '#이벤트', '#여름휴가', '#랜덤게임추첨', '#휴가계획', '#여름계획', '#직장인휴가', '#난못하겠어']",112,https://www.instagram.com/p/Cu8kOJSSsSv,Cu8kOJSSsSv,0.0
2023-07-19,"해양쓰레기 ZERO 깨끗한 바다 만들기🌊여름 휴가철 해양쓰레기 다이어트, 함께해요!⠀우리 바다로 들어오는 쓰레기가1년에 무려 14.5만톤이라고 해요🗑⠀이렇게 우리가 무심코 버린 쓰레기가우리 삶과 해양생물들에게도큰 영향을 끼치고 있어요😥⠀건강한 지구를 다음 세대에게 물려주기 위해🌎걸으면서 쓰레기 줍깅🌎쓰레기 되가져가기🌎플라스틱 제품 사용 줄이기🔍줍깅은 줍다+조깅(jogging)의 합성어로쓰레기를 줍는 활동을 뜻해요🙌🏻그럼 깨끗한 바다 만들기에 동참해주세요👍🏻건강한 지구를 위해 KB국민은행도 함께할게요💛⠀#KB국민은행 #국민은행 #국민과그린함께그린 #함께그린#바다다이어트 #해양쓰레기 #국민다이어트","['#KB국민은행', '#국민은행', '#국민과그린함께그린', '#함께그린', '#바다다이어트', '#해양쓰레기', '#국민다이어트']",321,https://www.instagram.com/p/Cu3KhdLLuhy,Cu3KhdLLuhy,0.0
2023-07-17,"💡 오늘의 국민 Quiz 💡KB스타프렌즈는 요즘 새로운 취미그림퀴즈 GAME🎨에 빠졌는데요!특별히 여러분도 초대해드릴게요🙌🏻📌이모지 힌트 : 👨‍⚖👩‍⚖⚖📌스토리 힌트7월 17일은 국가의 기본법(헌법) 제정을 기념하는 날이에요!우리 일상을 지켜주는 법이 만들어진 날인 만큼공휴일은 아닐지라도 꼭꼭 기억해야겠죠?😉주제와 그림, 힌트를 보고 정답을 댓글로 남겨주세요💖스타프렌즈보다 먼저 정답을 맞혀보자구요!#KB국민은행 #국민은행 #국민Quiz #국민퀴즈 #그림퀴즈 #국경일 #순발력 #퀴즈","['#KB국민은행', '#국민은행', '#국민Quiz', '#국민퀴즈', '#그림퀴즈', '#국경일', '#순발력', '#퀴즈']",406,https://www.instagram.com/p/Cux-zmsppSi,Cux-zmsppSi,0.0
2023-07-13,야호~! 여름이다💙드디어 기다리고 기다리던 여름 휴가 시즌~설레고 신나는 마음 가득 담긴플레이 리스트 준비는 필수😎듣기만 해도 흥 폭발! 시원해지는 느낌!여러분이 좋아하는 여름 노래가 담긴 플레이 리스트가 궁금해요!#EVENT 여러분의 원픽 여름 노래플레이 리스트를 공유해주세요🎵📌이벤트 일정🌊이벤트 기간 : 2023.07.13(목)~2023.07.27(목)🌊당첨자 발표 : 2023.08.10(목)🌊이벤트 경품 : [이디야] 상큼주스 트리오 (5명)가장 많은 추천을 받은 노래는 무엇일지KB 여름이 왔SONG #PLAYLIST COMING SOON~😉#KB국민은행 #국민은행 #팔로우 #좋아요#이벤트 #이벤트스타그램 #노래추천 #여름노래#7월 #여름 #바다 #여행 #오노추 #바캉스 #여름휴가 #휴가,"['#EVENT', '#PLAYLIST', '#KB국민은행', '#국민은행', '#팔로우', '#좋아요', '#이벤트', '#이벤트스타그램', '#노래추천', '#여름노래', '#7월', '#여름', '#바다', '#여행', '#오노추', '#바캉스', '#여름휴가', '#휴가']",848,https://www.instagram.com/p/Cunrj9rh_yx,Cunrj9rh_yx,0.0
2023-07-11,"국민 삼계탕 랜선 나눔에 어서오세요🙌🏻에구구... 덥다 더워!😱가만히 있어도 땀이 뻘뻘 나는 요즘일하느라, 공부하느라.. 진땀까지🤣무더위에 고생하는 여러분을 위해정성으로 수건을 고이 접어 준비했닭🍗KB국민은행이 여러분의 땀을 닦아드릴게요!오늘 하루 삼계탕으로 속도 든든하게금은보화 랜선 나눔으로 마음도 든든하게심신 모두 원기회복하세요💰#KB국민은행 #국민은행 #초복 #중복 #말복 #복날#삼계탕 #보양식 #복날음식 #원기회복 #여름나기","['#KB국민은행', '#국민은행', '#초복', '#중복', '#말복', '#복날', '#삼계탕', '#보양식', '#복날음식', '#원기회복', '#여름나기']",483,https://www.instagram.com/p/Cuih6i2IELf,Cuih6i2IELf,0.0
