,idx,txt,trans_txt
0,0,"‘비타민B7’ ‘비타민H’로도 불리는 비오틴은 모발과 피부, 손톱을 건강하게 유지하는 데 반드시 필요한 영양소다.","비타민 B7, 또는 비타민 H로 더 알려진 비오틴은 건강한 모발, 피부, 손톱 유지에 필수적인 영양소입니다."
1,1,"특히 머리카락을 구성하는 단백질인 케라틴 생성에 중요한 역할을 담당하고, 결핍 시 탈모가 나타날 수도 있기에 ‘모발 비타민’이라는 별명으로도 불린다고.","'모발 비타민'은 머리카락을 구성하는 단백질인 케라틴 생성에 주요한 역할을 하며, 부족할 경우 탈모가 발생할 수 있습니다."
2,2,탈모로 고민하는 사람들 사이에서 특히 이름난 영양소인 비오틴.,"비오틴은 이름난 영양소 중 하나로, 탈모로 고민하는 사람들에게 매우 효과적입니다."
3,3,비오틴의 역할과 효과 보는 섭취 팁을 소개한다.,"비오틴은 머리와 피부의 건강을 촉진하고 더 긴 두피와 머리카락, 손톱을 유지하기 위해 필요한 영양소입니다. 일상에서 비오틴 섭취를 더욱 쉽게 하기 위해서는 고단백 저지방 식품인 닭 가슴살, 계란, 땅콩, 아몬드와 같은 식품을 섭취하시는 것이 도움이 됩니다."
4,4,WHAT: 이름도 생소한 영양소 ‘비오틴’#탈모 보조제의 단골 영양소‘비오틴’이라는 단어를 가장 많이 목격하게 되는 곳은 아마도 탈모 샴푸나 탈모 보조제 패키지일 것이다.,'비오틴'이라는 단어는 탈모 샴푸나 탈모 보조제 패키지에서 가장 자주 볼 수 있는 영양소의 이름입니다.
5,5,비오틴은 맥주 효모의 주성분으로 모발이 강화된다고 광고하는 다양한 ‘맥주 효모’ 제품도 모두 비오틴 영양소 관련 제품이다.,"""모발 강화를 위해 다양한 제품에서 소개되는 '맥주 효모'는 모두 비오틴 영양소 관련 제품입니다."""
6,6,그만큼 비오틴은 탈모에 효과가 있는 영양소로 잘 알려져 있다.,"비오틴은 탈모에 효과가 있는 영양소로 많이 알려져 있다, 그렇게 유명하다고 하더라."
7,7,"비오틴은 비타민B 군의 종류 중 하나로 우리 몸의 3대 영양소인 탄수화물, 단백질, 지방의 대사 작용과 에너지 생성에 꼭 필요한 영양소다.","비오틴은 우리 몸에서 탄수화물, 단백질, 지방을 대사하는데 필수적인 비타민B 종류입니다."
8,8,"특히 모발이나 손발톱, 피부를 구성하는 케라틴 생성에 깊이 관여하기 때문에 비오틴이 부족해지면 모발이나 손발톱이 약해지는 것은 물론, 지루성 피부염이 생기기도 한다.","비오틴 부족은 모발과 손발톱을 약하게 만들고, 지루성 피부염을 유발할 수 있습니다."
9,9,#건강한 성인이라면 비오틴 결핍은 거의 없어성인의 비오틴 권장 필요량은 하루 30ug이다.,성인은 거의 비오틴 결핍이 없기 때문에 하루에 필요한 비오틴 섭취량은 약 30ug입니다.
10,10,현대인의 일일 비오틴 섭취량은 평균 35~70ug이니 건강한 성인이라면 일반적인 식사를 통해 비오틴을 충분히 섭취할 수 있다.,일반적으로 건강한 성인은 평소 식사에서 충분한 양의 비오틴을 섭취할 수 있습니다.
11,11,"단, ▲유전적으로 비오틴 대사 효소가 결핍된 경우 ▲날달걀 섭취가 많은 경우 ▲‘발프로익산’ 등 항경련제나 여드름 치료제 ‘이소트레티노인’을 복용하는 경우 ▲알코올중독 ▲항생제 장기 복용으로 장내 정상 세균총이 망가진 경우 등 비오틴이 결핍된 사람은 비오틴 보충이 필요하다.","비오틴 부족한 사람들은 유전적 결핍, 날달걀 과다 섭취, 항경련제나 여드름 치료제 복용, 알코올 중독, 장기적인 항생제 사용 등의 이유로 비오틴 보충이 필요합니다."
12,12,비오틴 결핍 여부는 증상이나 습관으로 쉽게 확인 가능하다.,비오틴 결핍 여부를 확인하는 것은 증상이나 습관을 통해 간단하게 알 수 있어요.
13,13,"비오틴이 결핍되면 나타나는 증상&결핍을 유도하는 습관들□ 손발톱이 쉽게 부러지고, 찢어지고, 얇아진다□ 머릿결이 푸석해진다□ 탈모가 의심될 정도로 머리카락이 많이 빠진다□","비오틴 결핍 시 손발톱이 쉽게 부러지고 찢어지며 얇아지고, 머릿결도 푸석해지며 탈모가 의심될 정도로 머리카락이 대량으로 빠질 수 있습니다. 이러한 증상을 유발하는 습관들이 있을 수 있습니다."
14,14,알코올중독 증상이 있다□,저는 알코올중독 증상을 경험 중이에요.
15,15,"날달걀을 자주, 많이 먹는다","저희는 자주, 많이 날달걀을 드시는 고객분을 위해 최선을 다하고 있습니다."
16,16,EFFECT: 머리카락을 굵어지게 한다고?,"""당신이 찾는 것은, 머리카락을 굵어지게 하는 효과에 관한 정보입니다."""
17,17,#‘탈모’라고 다 효과 보는 건 아니에요,효과는 다를 수 있지만 ‘탈모’에 대한 글을 고객을 생각한 한 문장으로 설명해 드릴게요.
